y,x,street_count,highway,longitude,latitude
12.9341318,77.6286193,3,nan,77.6286193,12.9341318
12.933231,77.6280313,3,nan,77.6280313,12.933231
12.9323767,77.6287962,3,nan,77.6287962,12.9323767
12.9305529,77.6297078,3,nan,77.6297078,12.9305529
12.9316932,77.6299184,3,nan,77.6299184,12.9316932
12.9311848,77.6294317,3,nan,77.6294317,12.9311848
12.9303089,77.6306021,4,nan,77.6306021,12.9303089
12.9298567,77.6335422,4,nan,77.6335422,12.9298567
12.9294726,77.6342844,4,nan,77.6342844,12.9294726
12.9257381,77.6346227,3,nan,77.6346227,12.9257381
12.9289647,77.6342683,3,nan,77.6342683,12.9289647
12.9271977,77.6371851,3,nan,77.6371851,12.9271977
12.9287564,77.634727,3,nan,77.634727,12.9287564
12.925823,77.6350961,3,nan,77.6350961,12.925823
12.9281605,77.6348055,3,nan,77.6348055,12.9281605
12.9265579,77.6366823,3,nan,77.6366823,12.9265579
12.9262445,77.6350437,3,nan,77.6350437,12.9262445
12.9256177,77.6339586,3,nan,77.6339586,12.9256177
12.9269428,77.6338199,3,nan,77.6338199,12.9269428
12.9273976,77.6364321,3,nan,77.6364321,12.9273976
12.9266812,77.6349894,3,nan,77.6349894,12.9266812
12.927012,77.6367396,4,nan,77.6367396,12.927012
12.9271555,77.637179,3,nan,77.637179,12.9271555
12.9310512,77.6340093,3,nan,77.6340093,12.9310512
12.9315908,77.6339579,3,nan,77.6339579,12.9315908
12.9295642,77.6291916,3,nan,77.6291916,12.9295642
12.9291048,77.6312233,3,nan,77.6312233,12.9291048
12.9283011,77.6290132,3,nan,77.6290132,12.9283011
12.9295532,77.6313425,3,nan,77.6313425,12.9295532
12.932688,77.627736,3,nan,77.627736,12.932688
12.9303724,77.6274511,3,nan,77.6274511,12.9303724
12.9309442,77.6275279,3,nan,77.6275279,12.9309442
12.9307784,77.6284042,3,nan,77.6284042,12.9307784
12.9320916,77.6276883,4,nan,77.6276883,12.9320916
12.9425251,77.6227797,3,nan,77.6227797,12.9425251
12.924503,77.6282515,3,nan,77.6282515,12.924503
12.9242381,77.6289059,3,nan,77.6289059,12.9242381
12.9253009,77.636376,3,nan,77.636376,12.9253009
12.925166,77.6373952,3,nan,77.6373952,12.925166
12.9260844,77.62681,4,nan,77.62681,12.9260844
12.9268059,77.6270445,3,nan,77.6270445,12.9268059
12.9306711,77.624661,3,nan,77.624661,12.9306711
12.9317842,77.6250332,3,nan,77.6250332,12.9317842
12.9342986,77.6258773,3,nan,77.6258773,12.9342986
12.9338545,77.6257011,3,nan,77.6257011,12.9338545
12.934525,77.6246163,3,nan,77.6246163,12.934525
12.9324584,77.6236833,3,nan,77.6236833,12.9324584
12.9327112,77.6231011,3,nan,77.6231011,12.9327112
12.9354104,77.6263947,3,nan,77.6263947,12.9354104
12.936103,77.627218,3,nan,77.627218,12.936103
12.9358786,77.6274347,3,nan,77.6274347,12.9358786
12.9351903,77.6244413,4,traffic_signals,77.6244413,12.9351903
12.9361127,77.6254105,3,nan,77.6254105,12.9361127
12.9379837,77.6238238,3,nan,77.6238238,12.9379837
12.9397032,77.62229,3,nan,77.62229,12.9397032
12.9364402,77.6251252,3,nan,77.6251252,12.9364402
12.9371854,77.6245262,3,nan,77.6245262,12.9371854
12.9376443,77.6241215,3,nan,77.6241215,12.9376443
12.9392817,77.6218499,3,nan,77.6218499,12.9392817
12.9410855,77.6218654,3,nan,77.6218654,12.9410855
12.9418575,77.6228386,3,nan,77.6228386,12.9418575
12.9383089,77.6235423,3,nan,77.6235423,12.9383089
12.9385432,77.6238341,3,nan,77.6238341,12.9385432
12.9396212,77.6228577,3,nan,77.6228577,12.9396212
12.9400233,77.6207688,4,nan,77.6207688,12.9400233
12.940177,77.6228174,3,nan,77.6228174,12.940177
12.9409227,77.623776,3,nan,77.623776,12.9409227
12.942244,77.6224302,3,nan,77.6224302,12.942244
12.9408041,77.6221629,3,nan,77.6221629,12.9408041
12.939443,77.6213505,3,nan,77.6213505,12.939443
12.9405263,77.6224529,3,nan,77.6224529,12.9405263
12.9395944,77.6251154,3,nan,77.6251154,12.9395944
12.9406204,77.6240784,3,nan,77.6240784,12.9406204
12.9392302,77.6232332,3,nan,77.6232332,12.9392302
