osmid,highway,oneway,reversed,length,lanes,name,width,est_width,bridge,maxspeed,access,longitude,latitude
133903616,secondary,True,False,41.348,2,80 Feet Road,nan,nan,nan,nan,nan,77.628918,12.93526325
164570823,residential,False,True,91.482,nan,nan,nan,nan,nan,nan,nan,77.6291883538619,12.935526087838701
27785781,residential,False,False,103.559,nan,16th Main Road,nan,nan,nan,nan,nan,77.62732445,12.93531695
27785781,residential,False,True,36.333,nan,16th Main Road,nan,nan,nan,nan,nan,77.62681605,12.9349296
27785786,residential,False,False,37.976,nan,4th Cross Road,nan,nan,nan,nan,nan,77.62680515,12.935137099999999
27785786,residential,False,False,34.917,nan,4th Cross Road,nan,nan,nan,nan,nan,77.62653005,12.93532525
27785786,residential,False,True,37.976,nan,4th Cross Road,nan,nan,nan,nan,nan,77.62680515,12.935137099999999
28186680,residential,False,False,109.506,nan,16th A Main Road,nan,nan,nan,nan,nan,77.62705005,12.93555935
27785786,residential,False,True,65.379,nan,4th Cross Road,nan,nan,nan,nan,nan,77.62575955,12.93588015
1302194007,primary,True,False,155.366,2,Mahayogi Vemana Road,nan,nan,nan,nan,nan,77.62499205,12.93563745
27674078,residential,False,False,44.187,nan,16th C Main Road,nan,nan,nan,nan,nan,77.6255146,12.93529365
27674078,residential,False,True,43.545,nan,16th C Main Road,nan,nan,nan,nan,nan,77.62582365,12.9355484
27785788,residential,False,False,128.532,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.6261791,12.935123099999998
27785781,residential,False,False,36.333,nan,16th Main Road,nan,nan,nan,nan,nan,77.62681605,12.9349296
27785781,residential,False,True,46.585,nan,16th Main Road,nan,nan,nan,nan,nan,77.62652600000001,12.934686549999999
27785788,residential,False,True,128.532,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.6261791,12.935123099999998
27674078,residential,False,False,54.014,nan,16th C Main Road,nan,nan,nan,nan,nan,77.62517589999999,12.935000599999999
27674078,residential,False,True,44.187,nan,16th C Main Road,nan,nan,nan,nan,nan,77.6255146,12.93529365
27785790,residential,False,False,128.941,nan,2nd A Cross Road,nan,nan,nan,nan,nan,77.6258615,12.934857099999999
27785781,residential,False,False,46.585,nan,16th Main Road,nan,nan,nan,nan,nan,77.62652600000001,12.934686549999999
27785781,residential,False,True,53.575,nan,16th Main Road,nan,nan,nan,nan,nan,77.6261872,12.934380449999999
27785790,residential,False,True,128.941,nan,2nd A Cross Road,nan,nan,nan,nan,nan,77.6258615,12.934857099999999
27785783,residential,False,True,33.296,nan,15th Main Road,nan,nan,nan,nan,nan,77.6281133,12.934957749999997
27785791,residential,False,False,146.042,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62866595,12.934542000000002
27785783,residential,False,False,62.126000000000005,nan,15th Main Road,nan,nan,nan,nan,nan,77.62847482740858,12.935202307724069
27785777,residential,False,False,33.483,nan,12th Main Road,nan,nan,nan,nan,nan,77.6289702,12.933948650000001
27785791,residential,False,True,146.042,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62866595,12.934542000000002
37450483,residential,False,True,33.494,nan,5th Cross Road,nan,nan,nan,nan,nan,77.6292131,12.93393825
27785777,residential,False,True,71.40299999999999,nan,12th Main Road,nan,nan,nan,nan,nan,77.62935526867366,12.934234125552457
27785783,residential,False,False,33.296,nan,15th Main Road,nan,nan,nan,nan,nan,77.6281133,12.934957749999997
27785783,residential,False,True,127.064,nan,15th Main Road,nan,nan,nan,nan,nan,77.62752185,12.934524549999999
27785792,residential,False,False,38.855,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62810675,12.9347348
27785777,residential,False,False,38.606,nan,12th Main Road,nan,nan,nan,nan,nan,77.62870515,12.933753
27785777,residential,False,True,33.483,nan,12th Main Road,nan,nan,nan,nan,nan,77.6289702,12.933948650000001
27785792,residential,False,True,38.767,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62873195,12.933996399999998
27785783,residential,False,False,127.064,nan,15th Main Road,nan,nan,nan,nan,nan,77.62752185,12.934524549999999
27785783,residential,False,True,60.516,nan,15th Main Road,nan,nan,nan,nan,nan,77.62683425,12.93401245
27785794,residential,False,False,35.675,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62716575,12.934064250000002
27785794,residential,False,False,46.07,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62780755,12.93332185
27785794,residential,False,True,33.643,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62758339999999,12.933605700000003
27785797,residential,False,False,124.018,nan,13th Main Road,nan,nan,nan,nan,nan,77.62815135,12.933810900000001
27785777,residential,False,False,49.772,nan,12th Main Road,nan,nan,nan,nan,nan,77.6277504,12.933016349999999
27785777,residential,False,True,13.798,nan,12th Main Road,nan,nan,nan,nan,nan,77.6279815,12.933192349999999
27785794,residential,False,True,46.07,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62780755,12.93332185
27785794,residential,False,False,33.533,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62738085000001,12.933834300000003
27785794,residential,False,True,35.675,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62716575,12.934064250000002
