addr:street,building,name,name:kn,addr:housenumber,addr:city,addr:postcode,name:en,nodes,building:levels,building:material,alt_name,shop,amenity,government,office,roof:levels,addr:housename,addr:suburb,organic,payment:credit_cards,payment:debit_cards,website,addr:country,branch,brand,brand:wikidata,email,phone,note,addr:district,addr:full,addr:state,source,nohousenumber,religion,layer,brand:ks,brand:pa,brand:ur,brand:wikipedia,cuisine,name:ks,name:pa,name:ur,takeaway,tourism,fixme,opening_hours,landuse,check_date,operator,dog,internet_access,pets,roof:shape,short_name,healthcare,air_conditioning,not:brand:wikidata,payment:cash,payment:contactless,building:levels:underground,construction,height,ways,type,building_category,area_sqm,levels,estimated_floor_area_sqm,height_meters,has_address,longitude,latitude
nan,office,nan,nan,nan,nan,nan,nan,"[363803732, 363803734, 363803736, 1758627943, 363803732]",5,glass,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,1153.19409272254,5.0,5765.970463612701,,False,77.6327876345069,12.928370957633938
nan,yes,Oasis Centre,nan,nan,nan,nan,nan,"[1274328890, 1274328867, 1274328913, 1274328908, 1274328920, 1274328876, 2449073269, 1274328859, 1274328860, 1274328893, 1274328890]",nan,nan,Salarpuria Oasis,mall,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,4220.240760260547,,4220.240760260547,,False,77.62813246898668,12.937496377714762
nan,hotel,nan,nan,nan,nan,nan,nan,"[1279249746, 1279249741, 1279249743, 1279249747, 1279249748, 1279249744, 1279249745, 1279249749, 1279249746]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,unknown,1846.8325715216697,,1846.8325715216697,,False,77.62763622260098,12.929085298428147
nan,transportation,nan,nan,nan,nan,nan,nan,"[1391210504, 1391210494, 1391210498, 1391210505, 1391210509, 1391210504]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,unknown,4282.875962474029,,4282.875962474029,,False,77.62507156602906,12.94089229325391
nan,yes,nan,nan,nan,nan,nan,nan,"[1454746799, 1454746800, 1454746798, 1454746797, 1454746799]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,937.2080962494263,,937.2080962494263,,False,77.62468280000002,12.9383445
nan,office,nan,nan,nan,nan,nan,nan,"[1469644289, 1469644291, 1469644297, 1469644294, 1469644289]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,1394.1149299406009,,1394.1149299406009,,False,77.63280288867526,12.92778685973019
nan,yes,Vemana Institute of Technology,nan,nan,nan,nan,nan,"[1476497837, 1476497840, 12503909699, 12503909700, 1476497824, 1476497836, 1476497839, 12503990601, 1476497842, 12503990602, 12503990603, 12503990604, 12503990605, 12503990608, 12503990607, 12503990606, 1476497835, 1476497844, 12503990610, 12503990609, 1476497837]",nan,nan,nan,nan,college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,1681.4868987606656,,1681.4868987606656,,False,77.62258017542999,12.929611778405706
nan,yes,RJS Institute of Management Studies,nan,nan,nan,nan,nan,"[1476500010, 1476499991, 1476499995, 1476499993, 1476500010]",nan,nan,nan,nan,college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,2628.3468553224475,,2628.3468553224475,,False,77.62300452698997,12.929462090188391
nan,yes,Regional Passport Office,nan,nan,nan,nan,nan,"[1757024865, 1757024858, 1757024856, 1757024860, 1757024865]",nan,nan,nan,nan,nan,register_office,government,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,975.3904781660015,,975.3904781660015,,False,77.61918955374313,12.946062567043459
nan,yes,nan,nan,nan,nan,nan,nan,"[1757024861, 1757024866, 1757024862, 1757024859, 1757024861]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,337.4557653182267,,337.4557653182267,,False,77.6194947,12.946164600000001
nan,office,Ashford Park View,nan,nan,nan,nan,nan,"[1758627946, 1758627944, 1758627945, 1758627947, 1758627946]",3,glass,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,1441.53818574129,3.0,4324.614557223869,,False,77.6327867256312,12.928684363880638
nan,office,Prestige Atlanta,nan,nan,nan,nan,nan,"[1758627952, 1758627948, 1758627950, 1758627954, 1758627952]",5,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,1032.2698967301028,5.0,5161.349483650514,,False,77.63280789835902,12.928962579564717
80 Feet Road,office,nan,nan,nan,nan,560034,nan,"[1758627933, 1758627926, 1758627931, 1758627935, 1758627933]",4,nan,nan,nan,nan,nan,nan,nan,The Summit,Koramangala,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,2132.443427534422,4.0,8529.773710137688,,True,77.63282516994659,12.92745403477577
"100 Feet Rd, 3rd Block, Koramangala",commercial,Spencer,nan,nan,Bengaluru,560034,nan,"[1758627919, 1758627907, 1758627903, 1758627929, 1758627919]",nan,nan,nan,supermarket,nan,nan,nan,nan,nan,nan,yes,yes,yes,https://www.spencers.in/,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,977.5543578416614,,977.5543578416614,,True,77.6330217,12.927175149999998
"80 Feet Road, 4th Block, AVS Layout, Koramangala",commercial,Art Arcade,nan,107,Bengaluru,560034,nan,"[1761893935, 1761893937, 1761893938, 1761893939, 1761893940, 1761893941, 1761893932, 1761893930, 1761893931, 1761893933, 1761893934, 1761893935]",5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,305.84972838967724,5.0,1529.2486419483862,,True,77.62850970683343,12.935901103474691
